                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5183,                  2.616,                 1.5114,                0.88907,                0.42227,                0.46839,                0.24823,                   1.45,                 1.6275,                 1.5089,              0.0033253,              0.0033253,              0.0033253
                      2,                 1.4907,                 1.8319,                 1.4908,                0.88683,                0.34865,                0.47207,                0.24762,                 1.6399,                 1.5487,                 1.7367,              0.0065928,              0.0065928,              0.0065928
                      3,                 1.5641,                 1.6149,                 1.5633,                0.80523,                0.26993,                0.31107,                0.13864,                 1.8587,                 1.7772,                 1.9248,              0.0097942,              0.0097942,              0.0097942
                      4,                 1.6134,                 1.4503,                 1.6137,                0.80664,                0.28763,                0.38301,                0.17719,                 1.8081,                 1.5898,                 1.9288,               0.009703,               0.009703,               0.009703
                      5,                 1.6007,                 1.3277,                 1.6039,                0.89273,                0.39185,                 0.6021,                0.32828,                 1.6547,                 1.1729,                 1.7981,               0.009604,               0.009604,               0.009604
                      6,                 1.5559,                 1.2475,                 1.5658,                0.90928,                0.39799,                0.66048,                0.42911,                 1.5318,                 1.0977,                 1.6784,               0.009505,               0.009505,               0.009505
                      7,                 1.5237,                 1.2016,                 1.5588,                0.90777,                0.39298,                 0.5652,                 0.2995,                 1.6049,                 1.0764,                 1.7066,               0.009406,               0.009406,               0.009406
                      8,                 1.4982,                 1.1557,                 1.5206,                0.56788,                 0.6775,                0.65946,                0.37676,                 1.5334,                 1.0152,                 1.6663,               0.009307,               0.009307,               0.009307
                      9,                 1.4813,                 1.1271,                 1.5096,                0.94652,                0.38963,                0.70881,                0.47105,                 1.5684,                 1.0337,                 1.6589,               0.009208,               0.009208,               0.009208
                     10,                 1.4664,                 1.0896,                 1.4967,                 0.7649,                0.78104,                0.74333,                0.49283,                 1.4358,                0.93132,                 1.5732,               0.009109,               0.009109,               0.009109
                     11,                 1.4485,                 1.0427,                 1.4815,                0.52444,                0.75561,                0.74459,                0.46587,                 1.4603,                0.94645,                 1.5993,                0.00901,                0.00901,                0.00901
                     12,                 1.4519,                 1.0326,                 1.4851,                0.93865,                0.75561,                0.82131,                0.55417,                 1.4203,                0.87704,                 1.5376,               0.008911,               0.008911,               0.008911
                     13,                 1.4181,                 1.0084,                 1.4619,                 0.7727,                0.82217,                 0.8693,                0.56353,                 1.4571,                0.87549,                 1.5411,               0.008812,               0.008812,               0.008812
                     14,                 1.4109,                 0.9828,                 1.4593,                0.66245,                 0.7036,                0.84855,                0.58791,                 1.3692,                0.80405,                 1.4828,               0.008713,               0.008713,               0.008713
                     15,                 1.4063,                0.98475,                   1.45,                 0.6726,                 0.8147,                0.86498,                0.61389,                 1.3827,                0.80409,                 1.4821,               0.008614,               0.008614,               0.008614
                     16,                 1.3932,                0.96308,                 1.4414,                0.86316,                0.83039,                0.88453,                0.64227,                 1.3622,                 0.7672,                 1.5013,               0.008515,               0.008515,               0.008515
                     17,                 1.3915,                  0.938,                 1.4323,                0.73393,                0.79604,                0.92809,                0.61637,                 1.3962,                0.85734,                 1.5061,               0.008416,               0.008416,               0.008416
                     18,                 1.3719,                0.92828,                 1.4202,                0.68346,                0.74969,                0.90101,                 0.6588,                 1.3726,                0.78175,                 1.4574,               0.008317,               0.008317,               0.008317
                     19,                 1.3599,                 0.9321,                 1.4188,                0.72324,                0.87647,                0.91211,                0.64488,                 1.3592,                0.77438,                 1.4458,               0.008218,               0.008218,               0.008218
                     20,                 1.3739,                0.92178,                 1.4147,                0.80872,                0.85409,                  0.959,                0.68806,                 1.3484,                0.73964,                  1.448,               0.008119,               0.008119,               0.008119
                     21,                 1.3603,                0.90168,                 1.4084,                0.69254,                0.90243,                 0.8422,                0.57705,                 1.3539,                0.71526,                 1.4602,                0.00802,                0.00802,                0.00802
                     22,                 1.3552,                0.89434,                 1.4083,                0.94297,                0.88844,                0.95784,                0.63898,                 1.3378,                0.69412,                 1.4445,               0.007921,               0.007921,               0.007921
                     23,                 1.3228,                0.86632,                 1.3858,                0.76157,                0.69756,                0.83369,                0.60647,                 1.3915,                0.77885,                 1.4512,               0.007822,               0.007822,               0.007822
                     24,                  1.341,                0.88705,                  1.399,                0.90263,                  0.958,                0.96743,                0.72163,                 1.3397,                0.70883,                 1.4273,               0.007723,               0.007723,               0.007723
                     25,                 1.3396,                0.87392,                 1.3917,                 0.8605,                0.87811,                0.94726,                0.69596,                 1.3466,                0.71664,                 1.4401,               0.007624,               0.007624,               0.007624
                     26,                 1.3278,                0.86365,                 1.3921,                0.86606,                0.97659,                0.96922,                0.68925,                 1.3107,                0.68539,                 1.4185,               0.007525,               0.007525,               0.007525
                     27,                 1.3195,                0.85187,                 1.3793,                0.79063,                0.97157,                0.92567,                 0.6246,                 1.3196,                0.72234,                 1.4282,               0.007426,               0.007426,               0.007426
                     28,                 1.3231,                0.86329,                 1.3914,                0.85774,                0.89231,                0.94441,                 0.6871,                 1.3092,                0.69516,                 1.4165,               0.007327,               0.007327,               0.007327
                     29,                 1.3133,                0.84219,                 1.3772,                0.88211,                0.97324,                0.97123,                0.71049,                 1.3074,                0.67689,                  1.422,               0.007228,               0.007228,               0.007228
                     30,                 1.3081,                0.84776,                 1.3756,                0.93891,                0.84005,                0.97324,                0.67475,                 1.3201,                0.70523,                 1.4258,               0.007129,               0.007129,               0.007129
                     31,                 1.3069,                0.83668,                 1.3693,                0.86966,                0.84297,                0.97502,                0.70758,                 1.3083,                0.68191,                 1.3971,                0.00703,                0.00703,                0.00703
                     32,                 1.3041,                0.82336,                   1.37,                0.88549,                0.97826,                0.97695,                 0.6977,                 1.3211,                0.69132,                 1.4037,               0.006931,               0.006931,               0.006931
                     33,                  1.306,                0.81994,                 1.3652,                0.94669,                0.95929,                0.97033,                0.69427,                 1.2777,                0.63812,                 1.3757,               0.006832,               0.006832,               0.006832
                     34,                 1.2872,                0.80983,                 1.3586,                0.90589,                0.97659,                0.97714,                0.72968,                 1.2884,                0.65446,                 1.3852,               0.006733,               0.006733,               0.006733
                     35,                 1.2962,                0.80436,                 1.3555,                 0.8825,                0.97659,                0.97648,                0.70427,                 1.2846,                0.66649,                 1.3869,               0.006634,               0.006634,               0.006634
